observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,FITS_FILE,DECISION
0791580501,2001 RN43,283.2113,-38.122963,283.23846,-38.13585,S,1,,N
0791580301,2001 RN43,283.13687,-38.08883,283.15677,-38.097775,S,1,,N
0791580401,2008 SS57,283.66104,-37.741913,283.70132,-37.76728,S,1,,N
0152832801,Liberatrix,271.97223,-19.721031,272.01492,-19.723356,S,2,,N
0152833001,Liberatrix,272.12134,-19.73065,272.1598,-19.733765,S,2,,N
0804040401,Libussa,4.657769,-8.138358,4.841513,-8.082032,S,2,,N
0407030101,Devosa,5.7436047,0.13561772,5.8105445,0.18230967,S,3,,N
0152835101,Isara,272.55988,-19.051186,272.57275,-19.049183,S,2,,N
0405210101,Zubaida,82.44384,12.187712,82.59312,12.16049,S,2,,N
0303670101,Seeligeria,215.06903,6.657949,215.11058,6.594688,S,2,,N
0763100101,Raissa,272.40103,-26.107971,272.77222,-26.094341,S,2,,N
0202670501,Delportia,265.94934,-29.089327,266.4623,-29.17222,S,3,,N
0763050201,Disa,115.26172,20.503614,115.32062,20.48783,S,2,,N
0152680901,Marconia,68.65643,24.57752,68.694435,24.580118,S,2,,N
0500070401,Angola,180.47174,-18.814947,180.59314,-18.883535,S,2,,N
0152020101,2001 XR31,10.817039,-27.14791,12.288235,-24.257051,S,3,,N
0791580601,2008 CB137,284.30682,-37.993492,284.33133,-38.003433,S,3,,N
0781040101,Barbara,50.011715,0.46338347,50.32284,0.31945792,S,2,12.36,16.4378,P0781040101OMS017FSIMAGS000.FTZ,D
0781040101,Barbara,50.011715,0.46338347,50.32284,0.31945792,S,2,12.36,16.4378,P0781040101OMS015FSIMAGS000.FTZ,D
0781040101,Barbara,50.011715,0.46338347,50.32284,0.31945792,S,2,12.36,16.4378,P0781040101OMS016FSIMAGS000.FTZ,D
0791580501,2008 SS57,283.70132,-37.76728,283.7214,-37.780197,S,1,22.85,26.9278,,N
0791580301,2008 SS57,283.64633,-37.732872,283.66104,-37.741913,S,1,22.85,26.9278,,N
0791580501,2008 CB137,284.29343,-37.988308,284.30682,-37.993492,S,4,21.55,25.6278,,N
